	dest_ip	dest_port	highest layer	length	timestamp
113	172.17.0.2	8080	TCP	54	1521394917.603282
114	172.17.0.2	8080	HTTP	749	1521394917.615981
115	172.17.0.2	8080	HTTP	726	1521394917.615989
116	10.0.2.2	55959	TCP	54	1521394917.616046
117	10.0.2.2	55952	TCP	5023	1521394917.62489
118	10.0.2.2	55952	DATA-TEXT-LINES	59	1521394917.625069
119	172.17.0.2	8080	TCP	54	1521394917.625395
120	172.17.0.2	8080	TCP	54	1521394917.625402
121	172.17.0.2	8080	TCP	54	1521394917.625404
122	172.17.0.2	8080	TCP	54	1521394917.62645
123	10.0.2.2	55959	TCP	1379	1521394917.63227
124	10.0.2.2	55959	DATA-TEXT-LINES	59	1521394917.632467
125	172.17.0.2	8080	TCP	54	1521394917.632649
126	172.17.0.2	8080	TCP	54	1521394917.632655
127	172.17.0.2	8080	HTTP	843	1521394922.304678
128	10.0.2.2	55959	TCP	54	1521394922.347978
129	10.0.2.2	55959	TCP	7354	1521394922.75209
130	10.0.2.2	55959	TCP	1754	1521394922.752209
131	172.17.0.2	8080	TCP	54	1521394922.752343
132	172.17.0.2	8080	TCP	54	1521394922.752347
133	172.17.0.2	8080	TCP	54	1521394922.752349
134	172.17.0.2	8080	TCP	54	1521394922.75235
135	172.17.0.2	8080	TCP	54	1521394922.752351
136	172.17.0.2	8080	TCP	54	1521394922.752504
137	172.17.0.2	8080	TCP	54	1521394922.752507
138	10.0.2.2	55959	TCP	6424	1521394922.758613
139	172.17.0.2	8080	TCP	54	1521394922.759316
140	172.17.0.2	8080	TCP	54	1521394922.759324
141	172.17.0.2	8080	TCP	54	1521394922.759327
142	172.17.0.2	8080	TCP	54	1521394922.759329
143	172.17.0.2	8080	TCP	54	1521394922.759332
144	172.17.0.2	8080	HTTP	778	1521394922.775065
145	10.0.2.2	55952	PNG	4132	1521394922.789445
146	172.17.0.2	8080	TCP	54	1521394922.789689
147	172.17.0.2	8080	TCP	54	1521394922.789696
148	172.17.0.2	8080	HTTP	783	1521394922.792394
149	10.0.2.2	55952	PNG	1542	1521394922.798007
150	172.17.0.2	8080	TCP	54	1521394922.798278
151	172.17.0.2	8080	HTTP	783	1521394922.80148
152	10.0.2.2	55952	PNG	2654	1521394922.806881
153	172.17.0.2	8080	TCP	54	1521394922.807084
154	172.17.0.2	8080	HTTP	781	1521394922.809691
155	172.17.0.2	8080	TCP	58	1521394922.813676
156	10.0.2.2	55966	TCP	58	1521394922.813842
157	172.17.0.2	8080	TCP	58	1521394922.813956
158	172.17.0.2	8080	TCP	54	1521394922.81396
159	10.0.2.2	55968	TCP	58	1521394922.814007
160	172.17.0.2	8080	TCP	54	1521394922.814215
161	172.17.0.2	8080	TCP	58	1521394922.814221
162	10.0.2.2	55970	TCP	58	1521394922.814258
163	172.17.0.2	8080	TCP	54	1521394922.814612
164	172.17.0.2	8080	TCP	58	1521394922.814659
165	172.17.0.2	8080	HTTP	776	1521394922.814667
166	172.17.0.2	8080	HTTP	793	1521394922.814669
167	172.17.0.2	8080	HTTP	777	1521394922.814672
