	dest_port	dst	highest layer	host	length	src	timestamp
74	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.484945
75	43917	10.0.2.15	DNS	162.212.156.148	101	162.212.156.148	1521397339.497921
76	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.497996
77	43917	10.0.2.15	DNS	162.212.156.148	153	162.212.156.148	1521397339.512588
78	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.51265
79	43917	10.0.2.15	DNS	162.212.156.148	144	162.212.156.148	1521397339.526741
80	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.526802
81	43917	10.0.2.15	DNS	162.212.156.148	137	162.212.156.148	1521397339.541733
82	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.541801
83	43917	10.0.2.15	DNS	162.212.156.148	92	162.212.156.148	1521397339.57833
84	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.578404
85	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397339.592399
86	53	162.212.156.148	DNS	10.0.2.15	89	10.0.2.15	1521397339.592468
87	43917	10.0.2.15	DNS	162.212.156.148	94	162.212.156.148	1521397339.606479
88	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397339.608921
89	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397340.60993
90	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397340.625564
91	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397341.627916
92	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397341.645197
93	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397342.646505
94	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397342.659937
95	53	162.212.156.148	DNS	10.0.2.15	190	10.0.2.15	1521397343.643498
96	43917	10.0.2.15	DNS	162.212.156.148	184	162.212.156.148	1521397343.658903
97	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397343.665528
98	43917	10.0.2.15	DNS	162.212.156.148	195	162.212.156.148	1521397343.681949
99	53	162.212.156.148	DNS	10.0.2.15	190	10.0.2.15	1521397344.64774
100	43917	10.0.2.15	DNS	162.212.156.148	184	162.212.156.148	1521397344.67802
101	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397344.683222
102	43917	10.0.2.15	DNS	162.212.156.148	195	162.212.156.148	1521397344.697177
103	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397345.697371
104	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397345.711379
105	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397346.714688
106	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397346.728545
107	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397347.728717
108	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397347.743838
109	53	162.212.156.148	DNS	10.0.2.15	162	10.0.2.15	1521397348.086286
110	43917	10.0.2.15	DNS	162.212.156.148	163	162.212.156.148	1521397348.100762
111	53	162.212.156.148	DNS	10.0.2.15	157	10.0.2.15	1521397348.100927
112	43917	10.0.2.15	DNS	162.212.156.148	266	162.212.156.148	1521397348.145498
113	53	162.212.156.148	DNS	10.0.2.15	200	10.0.2.15	1521397348.145709
114	43917	10.0.2.15	DNS	162.212.156.148	224	162.212.156.148	1521397348.173869
115	53	162.212.156.148	DNS	10.0.2.15	157	10.0.2.15	1521397348.174025
116	43917	10.0.2.15	DNS	162.212.156.148	546	162.212.156.148	1521397348.187541
117	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.187729
118	43917	10.0.2.15	DNS	162.212.156.148	162	162.212.156.148	1521397348.204008
119	53	162.212.156.148	DNS	10.0.2.15	303	10.0.2.15	1521397348.204078
120	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.238939
121	53	162.212.156.148	DNS	10.0.2.15	247	10.0.2.15	1521397348.239095
122	43917	10.0.2.15	DNS	162.212.156.148	371	162.212.156.148	1521397348.254338
123	53	162.212.156.148	DNS	10.0.2.15	210	10.0.2.15	1521397348.254518
124	43917	10.0.2.15	DNS	162.212.156.148	629	162.212.156.148	1521397348.276263
125	53	162.212.156.148	DNS	10.0.2.15	168	10.0.2.15	1521397348.278426
126	43917	10.0.2.15	DNS	162.212.156.148	215	162.212.156.148	1521397348.31237
127	43917	10.0.2.15	DNS	162.212.156.148	235	162.212.156.148	1521397348.331515
128	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.331614
129	53	162.212.156.148	DNS	10.0.2.15	211	10.0.2.15	1521397348.331819
130	43917	10.0.2.15	DNS	162.212.156.148	155	162.212.156.148	1521397348.346535
131	43917	10.0.2.15	DNS	162.212.156.148	324	162.212.156.148	1521397348.349258
132	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.349331
133	53	162.212.156.148	DNS	10.0.2.15	233	10.0.2.15	1521397348.349519
134	43917	10.0.2.15	DNS	162.212.156.148	210	162.212.156.148	1521397348.36505
135	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.365295
136	43917	10.0.2.15	DNS	162.212.156.148	238	162.212.156.148	1521397348.37897
137	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.379033
138	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.392901
139	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.392968
140	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.408111
141	53	162.212.156.148	DNS	10.0.2.15	178	10.0.2.15	1521397348.408174
142	43917	10.0.2.15	DNS	162.212.156.148	986	162.212.156.148	1521397348.424489
143	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.431435
144	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.43756
145	43917	10.0.2.15	DNS	162.212.156.148	183	162.212.156.148	1521397348.445981
146	43917	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397348.454357
147	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.454425
148	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.48102
149	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.481083
150	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.500267
151	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.500327
152	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.514024
153	53	162.212.156.148	DNS	10.0.2.15	324	10.0.2.15	1521397348.514079
154	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.527507
155	53	162.212.156.148	DNS	10.0.2.15	225	10.0.2.15	1521397348.527573
156	43917	10.0.2.15	DNS	162.212.156.148	329	162.212.156.148	1521397348.56213
157	53	162.212.156.148	DNS	10.0.2.15	263	10.0.2.15	1521397348.562305
158	43917	10.0.2.15	DNS	162.212.156.148	293	162.212.156.148	1521397348.579156
159	53	162.212.156.148	DNS	10.0.2.15	263	10.0.2.15	1521397348.584273
160	43917	10.0.2.15	DNS	162.212.156.148	330	162.212.156.148	1521397348.589322
161	53	162.212.156.148	DNS	10.0.2.15	263	10.0.2.15	1521397348.589485
162	43917	10.0.2.15	DNS	162.212.156.148	360	162.212.156.148	1521397348.598097
163	53	162.212.156.148	DNS	10.0.2.15	263	10.0.2.15	1521397348.603985
164	43917	10.0.2.15	DNS	162.212.156.148	338	162.212.156.148	1521397348.604122
165	53	162.212.156.148	DNS	10.0.2.15	293	10.0.2.15	1521397348.604304
166	43917	10.0.2.15	DNS	162.212.156.148	268	162.212.156.148	1521397348.620448
167	43917	10.0.2.15	DNS	162.212.156.148	360	162.212.156.148	1521397348.620458
168	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.625642
169	43917	10.0.2.15	DNS	162.212.156.148	1104	162.212.156.148	1521397348.716842
170	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397348.726956
