,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
86,162.212.156.148,53,DNS,89,0,10.0.2.15,1521397339.592468
87,10.0.2.15,43917,DNS,94,1,162.212.156.148,1521397339.606479
88,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397339.608921
89,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397340.60993
90,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397340.625564
91,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397341.627916
92,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397341.645197
93,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397342.646505
94,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397342.659937
95,162.212.156.148,53,DNS,190,0,10.0.2.15,1521397343.643498
96,10.0.2.15,43917,DNS,184,1,162.212.156.148,1521397343.658903
97,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397343.665528
98,10.0.2.15,43917,DNS,195,1,162.212.156.148,1521397343.681949
99,162.212.156.148,53,DNS,190,0,10.0.2.15,1521397344.64774
100,10.0.2.15,43917,DNS,184,1,162.212.156.148,1521397344.67802
101,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397344.683222
102,10.0.2.15,43917,DNS,195,1,162.212.156.148,1521397344.697177
103,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397345.697371
104,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397345.711379
105,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397346.714688
106,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397346.728545
107,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397347.728717
108,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397347.743838
109,162.212.156.148,53,DNS,162,0,10.0.2.15,1521397348.086286
110,10.0.2.15,43917,DNS,163,1,162.212.156.148,1521397348.100762
111,162.212.156.148,53,DNS,157,0,10.0.2.15,1521397348.100927
112,10.0.2.15,43917,DNS,266,1,162.212.156.148,1521397348.145498
113,162.212.156.148,53,DNS,200,0,10.0.2.15,1521397348.145709
114,10.0.2.15,43917,DNS,224,1,162.212.156.148,1521397348.173869
